Full Name,Cole Number,Collection Status,Species,Picture,Flower Color,Flower Picture,Subspecies,Variety,Form,Locality Data,Watering,Cultivar Name,Synonym,Cultivar and Synonym
L. karasmontana ssp. eberlanzii,C398,FALSE,karasmontana,,W,,ssp. eberlanzii, ,,"45 km E of Lüderitz, Namibia",,,,
L. karasmontana ssp. eberlanzii,C399,FALSE,karasmontana,,W,,ssp. eberlanzii, ,,"45 km E of Lüderitz, Namibia",,,,
L. karasmontana ssp. eberlanzii,C400,FALSE,karasmontana,,W,,ssp. eberlanzii, ,,"45 km E of Lüderitz, Namibia",,,,
L. karasmontana ssp. eberlanzii,C401,FALSE,karasmontana,,W,,ssp. eberlanzii, ,,"25 km SE of Lüderitz, Namibia",,,,
L. karasmontana ssp. eberlanzii,C405,FALSE,karasmontana,,W,,ssp. eberlanzii, ,,"50 km E of Lüderitz, Namibia",,,,
L. karasmontana ssp. eberlanzii 'Avocado Cream',C370A,FALSE,karasmontana,,W,,ssp. eberlanzii,,,"TL: 35 km E of Lüderitz, Namibia",,'Avocado Cream',,'Avocado Cream'
L. karasmontana ssp. eberlanzii 'Avocado Cream',C402,FALSE,karasmontana,,W,,ssp. eberlanzii,,,"40 km E of Lüderitz, Namibia",,'Avocado Cream',,'Avocado Cream'
L. karasmontana ssp. eberlanzii (syn. erniana witputzensis),C149,FALSE,karasmontana,,W,,ssp. eberlanzii,,,"TL: 110 km SSE of Aus, Namibia",,,(syn. erniana witputzensis),(syn. erniana witputzensis)
L. karasmontana ssp. eberlanzii (syn. erniana),C147,FALSE,karasmontana,,W,,ssp. eberlanzii,,,"40 km S of Aus, Namibia",,,(syn. erniana),(syn. erniana)
L. karasmontana ssp. eberlanzii (syn. erniana),C209,FALSE,karasmontana,,W,,ssp. eberlanzii,,,"10 km SSE of Aus, Namibia",,,(syn. erniana),(syn. erniana)
L. karasmontana ssp. karasmontana v. aiaisensis,C224,FALSE,karasmontana,,W,,ssp. karasmontana,v. aiaisensis,,"TL: 110 km W of Karasburg, Namibia",,,,
L. karasmontana ssp. karasmontana v. aiaisensis,C409,FALSE,karasmontana,,W,,ssp. karasmontana,v. aiaisensis,,"30 km E of Ai-Ais, Namibia",,,,
L. karasmontana ssp. karasmontana v. immaculata,C417,FALSE,karasmontana,,W,,ssp. karasmontana,v. immaculata,,"TL: 10 km N of Grünau, Namibia",,,,
L. karasmontana ssp. karasmontana v. karasmontana,C223,FALSE,karasmontana,,W,,ssp. karasmontana,v. karasmontana,,"25 km NE of Grünau, Namibia",,,,
L. karasmontana ssp. karasmontana v. karasmontana,C225,FALSE,karasmontana,,W,,ssp. karasmontana,v. karasmontana,,"30 km NW of Grünau, Namibia",,,,
L. karasmontana ssp. karasmontana v. karasmontana,C226,FALSE,karasmontana,,W,,ssp. karasmontana,v. karasmontana,,"25 km W of Grünau, Namibia",,,,
L. karasmontana ssp. karasmontana v. karasmontana,C408,TRUE,karasmontana,,W,,ssp. karasmontana,v. karasmontana,,"40 km NE of Ai-Ais, Namibia",,,,
L. karasmontana ssp. karasmontana v. karasmontana (Signalberg Form),C065,FALSE,karasmontana,,W,,ssp. karasmontana,v. karasmontana,(Signalberg Form),"25 km WNW of Grünau, Namibia",,,,
L. karasmontana ssp. karasmontana v. karasmontana (Signalberg Form),C328,FALSE,karasmontana,,W,,ssp. karasmontana,v. karasmontana,(Signalberg Form),"25 km WNW of Grünau, Namibia",,,,
L. karasmontana ssp. karasmontana v. karasmontana (syn. jacobseniana),C227,TRUE,karasmontana,,W,,ssp. karasmontana,v. karasmontana,,"TL: 10 km SW of Grünau, Namibia",,,(syn. jacobseniana),(syn. jacobseniana)
L. karasmontana ssp. karasmontana v. karasmontana (syn. mickbergensis),C168,FALSE,karasmontana,,W,,ssp. karasmontana,v. karasmontana,,"10 km NNE of Grünau, Namibia",,,(syn. mickbergensis),(syn. mickbergensis)
L. karasmontana ssp. karasmontana v. karasmontana (syn. mickbergensis),C169,FALSE,karasmontana,,W,,ssp. karasmontana,v. karasmontana,,"20 km NE of Grünau, Namibia",,,(syn. mickbergensis),(syn. mickbergensis)
L. karasmontana ssp. karasmontana v. karasmontana (syn. mickbergensis),C317,FALSE,karasmontana,,W,,ssp. karasmontana,v. karasmontana,,"15 km NE of Grünau, Namibia",,,(syn. mickbergensis),(syn. mickbergensis)
L. karasmontana ssp. karasmontana v. karasmontana (syn. mickbergensis),C327,FALSE,karasmontana,,W,,ssp. karasmontana,v. karasmontana,,"15 km NNE of Grünau, Namibia",,,(syn. mickbergensis),(syn. mickbergensis)
L. karasmontana ssp. karasmontana v. lericheana,C193,FALSE,karasmontana,,W,,ssp. karasmontana,v. lericheana,,"50 km NNE of Grünau, Namibia",,,,
L. karasmontana ssp. karasmontana v. lericheana,C267,FALSE,karasmontana,,W,,ssp. karasmontana,v. lericheana,,"TL: 70 km N of Karasburg, Namibia",,,,
L. karasmontana ssp. karasmontana v. lericheana,C329,FALSE,karasmontana,,W,,ssp. karasmontana,v. lericheana,,"70 km N of Karasburg, Namibia",,,,
L. karasmontana ssp. karasmontana v. lericheana,C330,FALSE,karasmontana,,W,,ssp. karasmontana,v. lericheana,,"70 km N of Karasburg, Namibia",,,,
